scenario,strike,moneyness,model_price,implied_vol
gbm,70.0,0.7,33.54009835541592,0.19999999999995305
gbm,80.0,0.8,24.58883544392775,0.19999999999998713
gbm,90.0,0.9,16.699448408416004,0.20000000000001025
gbm,100.0,1.0,10.450583572185565,0.1999999999945307
gbm,110.0,1.1,6.040088129724239,0.1999999999979611
gbm,120.0,1.2,3.2474774165608125,0.19999999999860127
gbm,130.0,1.3,1.6395929155861175,0.19999999997864285
merton_baseline,70.0,0.7,35.15429024520725,0.3516148133952774
merton_baseline,80.0,0.8,27.319168125506106,0.3360975967404283
merton_baseline,90.0,0.9,20.43900221034393,0.3230314878351627
merton_baseline,100.0,1.0,14.731759573930304,0.3131897675658569
merton_baseline,110.0,1.1,10.288570132189658,0.3067301398111729
merton_baseline,120.0,1.2,7.031022417138824,0.30331869988426136
merton_baseline,130.0,1.3,4.756004149437048,0.3024154039613552
merton_large_negative_jumps,70.0,0.7,35.95503577576462,0.3968545583078831
merton_large_negative_jumps,80.0,0.8,28.407058422891183,0.37867157481415015
merton_large_negative_jumps,90.0,0.9,21.691914192245225,0.36122744519455685
merton_large_negative_jumps,100.0,1.0,15.946415314855203,0.34520152085564915
merton_large_negative_jumps,110.0,1.1,11.272397579044808,0.3313953506447214
merton_large_negative_jumps,120.0,1.2,7.682247637218112,0.3202428318861486
merton_large_negative_jumps,130.0,1.3,5.078412177429947,0.3117558960629131
