jump_vol,plain_standard_error,control_standard_error,variance_reduction_factor
0.05,0.07321619451331975,0.034840878569250756,4.416071624635199
0.1,0.0762710351031232,0.04109149362490501,3.4452078300062317
0.15,0.08224365442794283,0.05164288162635875,2.536202137061916
0.2,0.09182511448557878,0.06611185561753077,1.929142295755517
0.25,0.10542002150910895,0.08418992722923985,1.5679273390261004
0.3,0.1232653778873363,0.10585829330495625,1.3559149439004725
