S0,strike,T,type,option_price,iv_market,moneyness,expiry,r
735.5999755859375,630.0,0.0767123287671232,put,0.99,0.32723413027687825,0.8564437478375084,2026-06-26,0.05
735.5999755859375,635.0,0.0767123287671232,put,1.08,0.31897647040393395,0.8632409204393934,2026-06-26,0.05
735.5999755859375,640.0,0.0767123287671232,put,1.22,0.31279877940136963,0.8700380930412784,2026-06-26,0.05
735.5999755859375,645.0,0.0767123287671232,put,1.31,0.3033371758330864,0.8768352656431634,2026-06-26,0.05
735.5999755859375,650.0,0.0767123287671232,put,1.48,0.2969883880849775,0.8836324382450483,2026-06-26,0.05
735.5999755859375,655.0,0.0767123287671232,put,1.69,0.29128400559446993,0.8904296108469334,2026-06-26,0.05
735.5999755859375,660.0,0.0767123287671232,put,1.92,0.285199369528604,0.8972267834488183,2026-06-26,0.05
735.5999755859375,665.0,0.0767123287671232,put,2.17,0.2786900914926013,0.9040239560507033,2026-06-26,0.05
735.5999755859375,667.0,0.0767123287671232,put,2.2,0.27356584289934444,0.9067428250914573,2026-06-26,0.05
735.5999755859375,668.0,0.0767123287671232,put,2.31,0.2739593825339705,0.9081022596118343,2026-06-26,0.05
735.5999755859375,669.0,0.0767123287671232,put,2.37,0.27271516443666527,0.9094616941322113,2026-06-26,0.05
735.5999755859375,670.0,0.0767123287671232,put,2.46,0.2723143457084701,0.9108211286525884,2026-06-26,0.05
735.5999755859375,671.0,0.0767123287671232,put,2.73,0.2769705375505971,0.9121805631729653,2026-06-26,0.05
735.5999755859375,672.0,0.0767123287671232,put,2.51,0.267536158871595,0.9135399976933423,2026-06-26,0.05
735.5999755859375,673.0,0.0767123287671232,put,2.64,0.26810391906679726,0.9148994322137193,2026-06-26,0.05
735.5999755859375,674.0,0.0767123287671232,put,2.68,0.26605638672614146,0.9162588667340963,2026-06-26,0.05
735.5999755859375,675.0,0.0767123287671232,put,2.81,0.266429585212415,0.9176183012544733,2026-06-26,0.05
735.5999755859375,676.0,0.0767123287671232,put,2.91,0.2658883546449824,0.9189777357748503,2026-06-26,0.05
735.5999755859375,677.0,0.0767123287671232,put,2.96,0.26396950657311374,0.9203371702952273,2026-06-26,0.05
735.5999755859375,678.0,0.0767123287671232,put,3.05,0.26304255025852313,0.9216966048156043,2026-06-26,0.05
735.5999755859375,679.0,0.0767123287671232,put,3.1,0.26104562751905147,0.9230560393359812,2026-06-26,0.05
735.5999755859375,680.0,0.0767123287671232,put,3.23,0.26099364494752664,0.9244154738563582,2026-06-26,0.05
735.5999755859375,681.0,0.0767123287671232,put,3.25,0.2581791962182557,0.9257749083767353,2026-06-26,0.05
735.5999755859375,682.0,0.0767123287671232,put,3.53,0.2615228326612932,0.9271343428971123,2026-06-26,0.05
735.5999755859375,683.0,0.0767123287671232,put,3.47,0.2567602089644787,0.9284937774174893,2026-06-26,0.05
735.5999755859375,684.0,0.0767123287671232,put,3.64,0.25730779233021456,0.9298532119378663,2026-06-26,0.05
735.5999755859375,685.0,0.0767123287671232,put,3.72,0.25571449252557793,0.9312126464582433,2026-06-26,0.05
735.5999755859375,686.0,0.0767123287671232,put,3.73,0.2525229606253636,0.9325720809786203,2026-06-26,0.05
735.5999755859375,687.0,0.0767123287671232,put,3.86,0.2519518626911755,0.9339315154989972,2026-06-26,0.05
735.5999755859375,688.0,0.0767123287671232,put,3.99,0.25129689012415707,0.9352909500193742,2026-06-26,0.05
735.5999755859375,689.0,0.0767123287671232,put,4.07,0.24950983372628674,0.9366503845397512,2026-06-26,0.05
735.5999755859375,690.0,0.0767123287671232,put,4.32,0.25118420646454187,0.9380098190601283,2026-06-26,0.05
735.5999755859375,691.0,0.0767123287671232,put,4.44,0.2500670730280622,0.9393692535805053,2026-06-26,0.05
