alpha,sigma,lambda,mu_J,sigma_J,rmse_unreg
0.0,0.18633320868050265,0.16322826678688293,-0.5,0.30510137191483955,0.013977497006988332
0.005,0.17936265936707138,0.32788126959036334,-0.27179422365841543,0.24929411078047534,0.014478641378889727
0.01,0.17413989299986962,0.48598596762382984,-0.1967396641202426,0.21612809152438048,0.015015759869855039
0.02,0.16587499577283377,0.8026269462238659,-0.13285270368836954,0.17905803403380602,0.015926041702885245
0.05,0.13694527199761095,2.501454000249789,-0.06064820154593871,0.11635403041182076,0.018508226986696127
