expiry,n,T,rmse,mean_error,max_abs_error
2026-06-26,109,0.0767123287671232,0.013629698325545041,0.0018142010053835249,0.057757588870711085
2026-07-31,139,0.1726027397260274,0.01472712358173743,-0.004838221360811633,0.04784294833634617
2026-08-21,44,0.2301369863013698,0.007199464971447476,0.00028292774039492504,0.01386914835873318
2026-12-18,44,0.5561643835616439,0.011545659624509834,0.0006259723741546566,0.021185140046335926
2027-03-19,44,0.8054794520547945,0.016160465494203774,0.004858379600736842,0.031073585858456765
2027-06-17,44,1.0520547945205478,0.017092104997813835,0.006016407860876005,0.027054886181567456
