snapshot_date,S0,expiry,T,type,strike,moneyness,bid,ask,lastPrice,price,price_source,iv_market,r
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,370.0,0.5219133113602291,0.0,0.0,343.77,343.77,lastPrice,2.9076790021960908,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,400.0,0.5642306068759234,0.0,0.0,311.52,311.52,lastPrice,2.275104055767566,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,435.0,0.6136007849775668,0.0,0.0,278.61,278.61,lastPrice,2.255386485482386,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,445.0,0.6277065501494649,0.0,0.0,265.28,265.28,lastPrice,1.653772006865139,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,450.0,0.6347594327354138,0.0,0.0,261.54,261.54,lastPrice,1.8603692692240137,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,480.0,0.6770767282511081,0.0,0.0,234.18,234.18,lastPrice,1.9217320331872674,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,485.0,0.6841296108370571,0.0,0.0,225.41,225.41,lastPrice,1.4036172643086278,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,495.0,0.6982353760089552,0.0,0.0,216.0,216.0,lastPrice,1.4408151174986157,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,500.0,0.7052882585949043,0.0,0.0,209.44,209.44,lastPrice,0.9536583333016537,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,515.0,0.7264469063527514,0.0,0.0,195.76,195.76,lastPrice,1.26596211821636,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,531.0,0.7490161306277884,0.0,0.0,0.25,0.25,lastPrice,0.8957954780723006,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,533.0,0.751837283662168,0.0,0.0,179.21,179.21,lastPrice,1.3214801206128224,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,535.0,0.7546584366965475,0.0,0.0,176.84,176.84,lastPrice,1.2689642437801378,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,537.0,0.7574795897309272,0.0,0.0,0.27,0.27,lastPrice,0.8733328626094571,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,539.0,0.7603007427653068,0.0,0.0,0.22,0.22,lastPrice,0.8408291294840537,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,540.0,0.7617113192824966,0.0,0.0,182.86,182.86,lastPrice,1.9469175384153938,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,545.0,0.7687642018684456,0.0,0.0,165.52,165.52,lastPrice,1.034286564557135,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,549.0,0.7744065079372049,0.0,0.0,0.13,0.13,lastPrice,0.7420892840561147,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,550.0,0.7758170844543947,0.0,0.0,164.8,164.8,lastPrice,1.4055722644123838,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,555.0,0.7828699670403437,0.0,0.0,159.34,159.34,lastPrice,1.3351234672703751,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,560.0,0.7899228496262928,0.0,0.0,154.4,154.4,lastPrice,1.3011607819968638,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,561.0,0.7913334261434826,0.0,0.0,0.28,0.28,lastPrice,0.7543474567569666,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,562.0,0.7927440026606724,0.0,0.0,0.14,0.14,lastPrice,0.6868659182351999,0.043
