snapshot_date,S0,expiry,T,type,strike,moneyness,bid,ask,lastPrice,price,price_source,iv_market,r
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,605.0,0.8533987928998342,0.0,0.0,1.16,1.16,lastPrice,0.3450216565296917,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,610.0,0.8604516754857832,0.0,0.0,1.36,1.36,lastPrice,0.3413571925909255,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,615.0,0.8675045580717322,0.0,0.0,1.42,1.42,lastPrice,0.3295761414156575,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,620.0,0.8745574406576813,0.0,0.0,1.59,1.59,lastPrice,0.3225633345606412,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,621.0,0.8759680171748712,0.0,0.0,1.65,1.65,lastPrice,0.3221837256231648,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,622.0,0.877378593692061,0.0,0.0,1.67,1.67,lastPrice,0.3200148550382933,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,623.0,0.8787891702092507,0.0,0.0,1.8,1.8,lastPrice,0.3224181491094756,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,624.0,0.8801997467264405,0.0,0.0,1.99,1.99,lastPrice,0.3269028325321614,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,625.0,0.8816103232436303,0.0,0.0,2.06,2.06,lastPrice,0.3264583673036647,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,626.0,0.8830208997608201,0.0,0.0,1.89,1.89,lastPrice,0.3167844515673408,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,627.0,0.88443147627801,0.0,0.0,2.0,2.0,lastPrice,0.3179227922565009,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,628.0,0.8858420527951998,0.0,0.0,2.02,2.02,lastPrice,0.3155522637232245,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,629.0,0.8872526293123896,0.0,0.0,2.09,2.09,lastPrice,0.3150115962584923,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,630.0,0.8886632058295794,0.0,0.0,2.26,2.26,lastPrice,0.3179407175268997,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,631.0,0.8900737823467691,0.0,0.0,2.4,2.4,lastPrice,0.319564074287743,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,632.0,0.891484358863959,0.0,0.0,2.13,2.13,lastPrice,0.3070036123513153,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,633.0,0.8928949353811488,0.0,0.0,2.21,2.21,lastPrice,0.3066504638527353,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,634.0,0.8943055118983386,0.0,0.0,1.74,1.74,lastPrice,0.2863291222853447,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,635.0,0.8957160884155284,0.0,0.0,2.56,2.56,lastPrice,0.3118814057815577,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,636.0,0.8971266649327182,0.0,0.0,2.37,2.37,lastPrice,0.3024732321589458,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,637.0,0.8985372414499081,0.0,0.0,2.65,2.65,lastPrice,0.3081849886319743,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,638.0,0.8999478179670979,0.0,0.0,2.47,2.47,lastPrice,0.2992557554379925,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,639.0,0.9013583944842876,0.0,0.0,2.68,2.68,lastPrice,0.3025411712763401,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,640.0,0.9027689710014776,0.0,0.0,3.03,3.03,lastPrice,0.3095796699975872,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,641.0,0.9041795475186672,0.0,0.0,2.56,2.56,lastPrice,0.2923099873517868,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,642.0,0.905590124035857,0.0,0.0,2.53,2.53,lastPrice,0.2881246189651205,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,643.0,0.9070007005530468,0.0,0.0,3.25,3.25,lastPrice,0.3055904247495872,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,644.0,0.9084112770702368,0.0,0.0,2.81,2.81,lastPrice,0.2898646716258991,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,645.0,0.9098218535874264,0.0,0.0,2.91,2.91,lastPrice,0.2893827753315275,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,646.0,0.9112324301046164,0.0,0.0,3.06,3.06,lastPrice,0.2901945580964958,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,647.0,0.912643006621806,0.0,0.0,2.65,2.65,lastPrice,0.2752968705257778,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,648.0,0.914053583138996,0.0,0.0,3.47,3.47,lastPrice,0.2942386250158029,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,649.0,0.9154641596561858,0.0,0.0,3.15,3.15,lastPrice,0.2824391742046716,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,650.0,0.9168747361733756,0.0,0.0,3.91,3.91,lastPrice,0.2982025941597125,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,651.0,0.9182853126905652,0.0,0.0,3.81,3.81,lastPrice,0.2922333368803431,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,652.0,0.9196958892077552,0.0,0.0,3.87,3.87,lastPrice,0.2901376561074286,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,653.0,0.921106465724945,0.0,0.0,3.95,3.95,lastPrice,0.2884818848298916,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,654.0,0.9225170422421348,0.0,0.0,3.88,3.88,lastPrice,0.2832625374611214,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,655.0,0.9239276187593246,0.0,0.0,4.47,4.47,lastPrice,0.2931751502866862,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,656.0,0.9253381952765144,0.0,0.0,4.39,4.39,lastPrice,0.2877331556552949,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,657.0,0.9267487717937042,0.0,0.0,3.68,3.68,lastPrice,0.267888705397913,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,658.0,0.928159348310894,0.0,0.0,3.98,3.98,lastPrice,0.2712558466699615,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,659.0,0.929569924828084,0.0,0.0,4.59,4.59,lastPrice,0.2810638681695387,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,660.0,0.9309805013452735,0.0,0.0,4.7,4.7,lastPrice,0.279690077069393,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,661.0,0.9323910778624634,0.0,0.0,4.42,4.42,lastPrice,0.2700209795685852,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,662.0,0.9338016543796532,0.0,0.0,4.42,4.42,lastPrice,0.2663254691534678,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,663.0,0.935212230896843,0.0,0.0,4.56,4.56,lastPrice,0.2655617585727621,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,664.0,0.9366228074140328,0.0,0.0,5.13,5.13,lastPrice,0.2734209070621993,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,665.0,0.9380333839312228,0.0,0.0,4.92,4.92,lastPrice,0.2654037511027339,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,666.0,0.9394439604484124,0.0,0.0,4.68,4.68,lastPrice,0.256778552657607,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,667.0,0.9408545369656024,0.0,0.0,5.17,5.17,lastPrice,0.2626927482525105,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,668.0,0.942265113482792,0.0,0.0,5.22,5.22,lastPrice,0.2597978650932882,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,669.0,0.943675689999982,0.0,0.0,5.4,5.4,lastPrice,0.25934796839188,0.043
2026-05-15,708.9299926757812,2026-06-12,0.0767123287671232,put,670.0,0.9450862665171718,0.0,0.0,5.96,5.96,lastPrice,0.2658201132321167,0.043
