date,Close,High,Low,Open,Volume,returns,abs_return,RV,BPV,RV_to_BPV,bns_style_z,jump_component,log_ratio,log_ratio_mean,log_ratio_std,ratio_z,rolling_vol,jump_flag_single,jump_flag_strict,jump_flag,jump_flag_two,jump_score,jump_size_proxy
2023-06-21,356.0802307128906,360.291402247806,355.15534457900924,359.8584755456989,53378300,-0.0137215475562083,0.0137215475562083,0.0028668081228194,0.0029603757955286,0.9683933124806204,-0.1811288215157287,-9.356767270920836e-05,-0.0321169596828669,,,,0.0114378142868,False,False,False,False,0.1811288215157287,0.0137215475562083
2023-06-22,360.2815856933594,360.438986288893,354.4272564085089,354.8306667482636,47603000,0.0117298355547089,0.0117298355547089,0.0028416466324171,0.0031180219446517,0.9113619733470216,-0.5079589975789031,-0.0002763753122346,-0.0928151243637877,,,,0.0109271729260407,False,False,False,False,0.5079589975789031,0.0117298355547089
2023-06-23,356.7099914550781,359.01235823948906,355.01764962720034,356.3852813802628,48922900,-0.0099628054062436,0.0099628054062436,0.002914455520539,0.0031068116918473,0.9380856677561024,-0.3548132029778286,-0.0001923561713082,-0.0639140039158776,,,,0.0111928941407054,False,False,False,False,0.3548132029778286,0.0099628054062436
2023-06-26,351.9281311035156,358.9729945543616,351.8395819991526,356.17866827388485,52685500,-0.0134961210295944,0.0134961210295944,0.002518599756266,0.0023262130430646,1.0827038236136726,0.4739517893738209,0.0001923867132014,0.0794614528826243,,,,0.0109058345293731,False,False,False,False,0.4739517893738209,0.0134961210295944
2023-06-27,357.9792785644531,358.7073991281337,352.7448516906183,353.4729422274704,49428100,0.0170481218700687,0.0170481218700687,0.0021727154412091,0.0025178978701862,0.8629084868515202,-0.7856319711189881,-0.0003451824289771,-0.1474466342496746,,,,0.0101803301336307,False,False,False,False,0.7856319711189881,0.0170481218700687
2023-06-28,358.67779541015625,360.6259355671753,356.080235165036,356.15896549012393,46498000,0.0019493760468449,0.0019493760468449,0.0021560428839626,0.0025301868858086,0.8521279183191959,-0.847412303915083,-0.000374144001846,-0.1600186245502382,,,,0.0101668369417839,False,False,False,False,0.847412303915083,0.0019493760468449
2023-06-29,357.95953369140625,359.02218292164616,356.3164059384481,358.38261161325084,46151000,-0.0020045340372034,0.0020045340372034,0.0021275450045895,0.0024283518497949,0.8761271579195414,-0.7098795750133637,-0.0003008068452054,-0.1322440411376688,,,,0.0100561695039195,False,False,False,False,0.7098795750133637,0.0020045340372034
2023-06-30,363.4793090820313,364.5320794146478,361.3245244321573,361.6393556388395,58712500,0.0153024283532772,0.0153024283532772,0.0022297817224632,0.0023371681057841,0.9540527773526092,-0.263310297383736,-0.0001073863833208,-0.047036286891519,,,,0.0102629162215711,False,False,False,False,0.263310297383736,0.0153024283532772
2023-07-03,364.3353271484375,364.9650196119277,363.0365470322864,364.11886379574565,19432900,0.0023522980124644,0.0023522980124644,0.0021794869149334,0.0023879806130147,0.912690372381992,-0.5003463253696034,-0.0002084936980813,-0.0913585880171962,,,,0.0101989208378916,False,False,False,False,0.5003463253696034,0.0023522980124644
2023-07-05,364.3255004882813,366.0276910481875,362.73155662470873,362.7709217894503,34460900,-2.697183596022212e-05,2.697183596022212e-05,0.0021789911073055,0.0023878883016429,0.9125180209670558,-0.5013340216808605,-0.0002088971943373,-0.0915474447155068,,,,0.0102056228792291,False,False,False,False,0.5013340216808605,2.697183596022212e-05
