date,Close,High,Low,Open,Volume,returns,abs_return,RV,BPV,RV_to_BPV,bns_style_z,jump_component,log_ratio,log_ratio_mean,log_ratio_std,ratio_z,rolling_vol,jump_flag_single,jump_flag_strict,jump_flag
2023-07-20,370.7012939453125,377.9232550597698,369.67800988298177,376.4571954822207,71941700,-0.023321843894051,0.023321843894051,0.002188816061740059,0.0016127419090657933,1.3572017006787935,2.047020050667865,0.0005760741526742656,0.3054250070061343,-0.04517133036000126,0.09628526567760101,3.64122521653586,0.01026608751373661,True,False,True
2023-07-24,370.1798400878906,371.50810665869074,368.3202188458526,370.5635528672616,40380100,0.0015960723433308,0.0015960723433308,0.001963539376059487,0.0013209465268801653,1.486463937868105,2.7877846965748687,0.0006425928491793219,0.3964001034026474,-0.0028112320164492555,0.1511588795447939,2.64100485939892,0.009733564492993198,True,False,True
2023-07-25,372.6888427734375,374.3516683085813,370.86858659289726,370.8882841903377,38894400,0.0067549279804341,0.0067549279804341,0.0018270231452348785,0.0009583370204745343,1.906451599177711,5.19461300142372,0.0008686861247603442,0.6452437127273976,0.025477880975789402,0.20666168921131045,2.9989391556647007,0.009118009273719785,True,False,True
2023-07-26,371.4491271972656,373.1414692474909,369.1467601103594,371.6459230276656,47075700,-0.0033319539470763,0.0033319539470763,0.0015474866030436012,0.0009406017519662662,1.6452091438365728,3.6975077436581816,0.000606884851077335,0.4978675152462221,0.057743588450584235,0.22656220302343638,1.942618499124101,0.008600204061707407,True,False,True
2023-07-27,370.56353759765625,378.52343803042015,369.2746062189445,376.9098266210042,63940200,-0.0023869943522932,0.0023869943522932,0.0015493842781094682,0.0009472913016491854,1.6355943260664063,3.642407992672542,0.0006020929764602828,0.492006240479593,0.0903448317020758,0.23942801476456865,1.6775873498866616,0.008649407024891516,True,False,True
2023-07-28,377.313232421875,378.3364864635538,374.1056471836481,374.6172742044875,56902900,0.0180507761845014,0.0180507761845014,0.0018711966422661243,0.0009678155948478011,1.9334227018323558,5.349176621411426,0.0009033810474183231,0.6592918529016188,0.1299216264040402,0.2635663045728898,2.0084897701753834,0.009307430448076835,True,False,True
2023-07-31,377.5100402832031,378.6907551113529,376.19159240697024,377.6182869887491,44019900,0.0005214674027805,0.0005214674027805,0.0016373042570111047,0.0009238614390491504,1.7722400652377464,4.425485361538693,0.0007134428179619542,0.5722443200031805,0.16088565674877517,0.27699312056577086,1.4850862086906231,0.00884753995995394,True,False,True
2023-08-01,376.6343688964844,377.39197572986,374.5681329555754,376.1620769587029,41060600,-0.0023222920427546,0.0023222920427546,0.0016371639914035021,0.0009257588846280807,1.7684561483428,4.403800823813099,0.0007114051067754214,0.5701069333948764,0.1939589328193788,0.2842940237902246,1.323094997076162,0.008893962344866616,True,False,True
2023-08-02,368.3694152832031,373.16109557263337,367.1296678474969,373.16109557263337,72687100,-0.0221885925384667,0.0221885925384667,0.0021294969027616673,0.001010618586791941,2.107122242350044,6.344598652033948,0.0011188783159697263,0.7453231503911543,0.23580246257471185,0.3003275568786912,1.6965499040843888,0.0103038934144612,True,False,True
2023-08-03,367.7790832519531,369.90435184798616,365.7915476989131,365.95882713700206,47666400,-0.0016038398746106,0.0016038398746106,0.002073625365386154,0.0010274198767804509,2.0182842596778636,5.835493764108553,0.0010462054886057031,0.7022477740914959,0.27407623429791145,0.30844670614080527,1.3881540352650905,0.010146525840710305,True,False,True
