date,Close,High,Low,Open,Volume,returns,abs_return,RV,BPV,RV_to_BPV,bns_style_z,jump_component,log_ratio,log_ratio_mean,log_ratio_std,ratio_z,rolling_vol,jump_flag_single,jump_flag_strict,jump_flag,jump_flag_two,jump_score,jump_size_proxy
2023-08-09,361.9936218261719,366.4606222337156,361.2360150499196,366.3031915996586,51150900,-0.0110554345248081,0.0110554345248081,0.0021688825254385,0.000924269509833,2.3465910130804977,7.71692519544765,0.0012446130156054,0.8529636422380558,0.4323884174727748,0.2977405296611744,1.4125561785084857,0.0103925320658341,True,False,True,False,7.71692519544765,0.0110554345248081
2025-10-10,588.0000610351562,611.6198017284072,587.5511938507611,609.8443624637231,97614800,-0.0353311185349565,0.0353311185349565,0.0018804219324124,0.0008141139092999,2.309777429093839,7.505957150182379,0.0010663080231124,0.8371511688500143,-0.1189187768698026,0.2342071620294132,4.082155035035809,0.0096918241614821,True,True,True,True,7.505957150182379,0.0353311185349565
2024-09-06,444.521240234375,456.9348232587385,444.0258857158704,456.0530777034609,50624400,-0.0271525214908535,0.0271525214908535,0.0038972248078747,0.0017998115656493,2.165351574718166,6.678294182228905,0.0020974132422254,0.7725827384406506,0.1796800736660836,0.2582255098503909,2.296065424047683,0.0139590995608834,True,False,True,False,6.678294182228905,0.0271525214908535
2023-08-02,368.3694152832031,373.16109557263337,367.1296678474969,373.16109557263337,72687100,-0.0221885925384667,0.0221885925384667,0.0021294969027616,0.0010106185867919,2.107122242350044,6.344598652033948,0.0011188783159697,0.7453231503911543,0.2358024625747118,0.3003275568786912,1.6965499040843888,0.0103038934144612,True,False,True,False,6.344598652033948,0.0221885925384667
2023-08-14,364.3944091796875,364.5124746558894,358.83527281179767,359.5535144676342,42130800,0.0111598387821055,0.0111598387821055,0.00196784738274,0.0009612381003593,2.047200773673366,6.001205976093342,0.0010066092823806,0.716473383781193,0.5409201137430838,0.2359135377782343,0.7441424162912362,0.0097847209754313,True,False,True,False,6.001205976093342,0.0111598387821055
2023-08-03,367.7790832519531,369.90435184798616,365.7915476989131,365.95882713700206,47666400,-0.0016038398746106,0.0016038398746106,0.0020736253653861,0.0010274198767804,2.018284259677864,5.835493764108553,0.0010462054886057,0.7022477740914959,0.2740762342979114,0.3084467061408052,1.3881540352650903,0.0101465258407103,True,False,True,False,5.835493764108553,0.0016038398746106
2024-09-05,456.7564697265625,461.03630947784416,453.68526588800313,454.70569491267526,34452400,0.0009330872738533,0.0009330872738533,0.0040679248457842,0.0020174356095483,2.016383980995989,5.824603814379138,0.0020504892362358,0.7013057988365146,0.1414906646348024,0.2215973769178706,2.5262714838415854,0.0139567732503517,True,False,True,False,5.824603814379138,0.0009330872738533
2023-08-04,366.0571899414063,372.0197359751691,365.55538170207865,369.7075205928436,61702800,-0.0046928627911831,0.0046928627911831,0.0020845869875826,0.0010380623757713,2.008151953329085,5.777428435147229,0.0010465246118112,0.6972148729350204,0.3119327865163258,0.3115782742816402,1.2365499080671856,0.0101790046350436,True,False,True,False,5.777428435147229,0.0046928627911831
2023-08-11,360.3504333496094,362.08214015021474,358.8253711287267,360.1044536348334,48707200,-0.0063961033348714,0.0063961033348714,0.0019297061355454,0.0009684346128781,1.9926034343303904,5.688324351689522,0.0009612715226672,0.6894420421694353,0.5056438184656531,0.2586762116758822,0.7105339239082367,0.0096706451198192,True,False,True,False,5.688324351689522,0.0063961033348714
2023-08-10,362.6626586914063,368.3398598555968,361.137596428398,365.0043904450485,72035300,0.001846494878507,0.001846494878507,0.0018888405175267,0.0009521494067363,1.983764842117552,5.637672925772526,0.0009366911107903,0.6849964746792905,0.4699310629684336,0.2793172347671235,0.7699682831607737,0.009614951342228,True,False,True,False,5.637672925772526,0.001846494878507
2023-08-08,366.017822265625,366.6672123277019,362.8889674430173,366.6475447598164,44726500,-0.0085387959023969,0.0085387959023969,0.0022041882879879,0.0011175755316278,1.9722946911492372,5.5719407946776585,0.00108661275636,0.6791976827181955,0.3869366937168519,0.2994478415166704,0.9759996516290572,0.0104853069509839,True,False,True,False,5.5719407946776585,0.0085387959023969
2023-08-07,369.1565551757813,369.2549530766585,365.53574062735606,367.8676237467124,37230400,0.0084312449679633,0.0084312449679633,0.0021555654422559,0.0011008136986338,1.9581564482083167,5.490918597061354,0.001054751743622,0.6720034429634688,0.3507114759341654,0.3056593455167652,1.0511439343891442,0.0103131110714443,True,False,True,False,5.490918597061354,0.0084312449679633
2023-07-28,377.313232421875,378.3364864635538,374.1056471836481,374.6172742044875,56902900,0.0180507761845014,0.0180507761845014,0.0018711966422661,0.0009678155948478,1.933422701832356,5.349176621411426,0.0009033810474183,0.6592918529016188,0.1299216264040402,0.2635663045728898,2.0084897701753834,0.0093074304480768,True,False,True,False,5.349176621411426,0.0180507761845014
2023-12-08,386.4219970703125,386.8653834005517,382.7860788109342,382.97329639601855,46687500,0.0044465142521791,0.0044465142521791,0.0015203524083658,0.0007905601544148,1.9231331099544355,5.290209934390435,0.000729792253951,0.653955684156157,0.2016881926482875,0.2421355544098467,1.867827682762964,0.0082223305945059,True,False,True,False,5.290209934390435,0.0044465142521791
2023-07-25,372.6888427734375,374.3516683085813,370.86858659289726,370.8882841903377,38894400,0.0067549279804341,0.0067549279804341,0.0018270231452348,0.0009583370204745,1.906451599177711,5.19461300142372,0.0008686861247603,0.6452437127273976,0.0254778809757894,0.2066616892113104,2.9989391556647007,0.0091180092737197,True,False,True,False,5.19461300142372,0.0067549279804341
2026-01-20,607.2942504882812,614.2854351912486,606.2855126563834,609.7611716460692,81988900,-0.021476167073958,0.021476167073958,0.0011864591353612,0.000636610276872,1.863713449915968,4.949692979203854,0.0005498488584891,0.622570975860095,0.0063586309867424,0.1506560257965424,4.090193814786629,0.0077021086464165,True,False,True,False,4.949692979203854,0.021476167073958
2025-04-03,448.4891052246094,457.8537794541511,447.9716210778618,454.2412608622545,70456300,-0.0550197706035899,0.0550197706035899,0.0079216290913631,0.004328493045094,1.8301124684355408,4.757135433475916,0.0035931360462691,0.6043774231263518,0.1903223250028115,0.1243592343835118,3.329508260292392,0.0195106948518007,True,False,True,False,4.757135433475916,0.0550197706035899
2025-04-09,463.7552490234375,465.57642043659325,413.42884056901664,413.5681807581863,142876900,0.1133562186459695,0.1133562186459695,0.0234712134748376,0.0128795583272814,1.822361674089478,4.71271786378114,0.0105916551475562,0.6001332830295178,0.2041879055765356,0.1516558010459257,2.61081590497866,0.0342401282650264,True,True,True,True,4.71271786378114,0.1133562186459695
2024-07-24,459.0747375488281,469.7842993335882,458.21282556323735,469.4177418439957,58818600,-0.0365294438285827,0.0365294438285827,0.0035601660522246,0.0019894928626123,1.7894842043061665,4.52430655517378,0.0015706731896123,0.5819274243094158,0.1381999618452762,0.1933770218076645,2.294623519983036,0.0132335727619885,True,False,True,False,4.52430655517378,0.0365294438285827
2023-07-31,377.5100402832031,378.6907551113529,376.19159240697024,377.6182869887491,44019900,0.0005214674027805,0.0005214674027805,0.0016373042570111,0.0009238614390491,1.7722400652377464,4.425485361538693,0.0007134428179619,0.5722443200031805,0.1608856567487751,0.2769931205657708,1.4850862086906231,0.0088475399599539,True,False,True,False,4.425485361538693,0.0005214674027805
2023-08-01,376.6343688964844,377.39197572986,374.5681329555754,376.1620769587029,41060600,-0.0023222920427546,0.0023222920427546,0.0016371639914035,0.000925758884628,1.7684561483428,4.403800823813099,0.0007114051067754,0.5701069333948764,0.1939589328193788,0.2842940237902246,1.323094997076162,0.0088939623448666,True,False,True,False,4.403800823813099,0.0023222920427546
2025-08-01,551.8309936523438,556.951993446216,549.6391201209816,556.7626938955674,69400800,-0.0198952295874945,0.0198952295874945,0.0007179433087784,0.0004091595793219,1.7546779913308383,4.3248421749289,0.0003087837294564,0.562285359360013,-0.0665565821297517,0.1709875950940247,3.677705047222692,0.0059877154354236,True,True,True,True,4.3248421749289,0.0198952295874945
2023-08-15,360.5276489257813,364.2173455414884,359.85856111907714,363.42034344781393,45539900,-0.0106681728982366,0.0106681728982366,0.0020152769329649,0.0011549493424288,1.7449050438237343,4.2688362279719,0.0008603275905361,0.5567001380269212,0.5704703324672347,0.1955767871850179,-0.0704081227558294,0.0097037772736434,True,False,True,False,4.2688362279719,0.0106681728982366
2024-08-30,471.8450317382813,472.4691833346091,466.1385676448057,470.6264788445398,33466500,0.0118489192477998,0.0118489192477998,0.0042349643169496,0.0024664361863965,1.7170378622837097,4.10913743801757,0.001768528130553,0.5406006330896291,0.0558037312147264,0.1301471661121845,3.72499007359881,0.0142440136297161,True,False,True,False,4.10913743801757,0.0118489192477998
2024-09-09,450.2376403808594,451.2283494616286,445.6407659677918,448.8506537145908,32981200,0.0127776947427076,0.0127776947427076,0.0040333631128259,0.0023549492032261,1.7127176702157751,4.084379661755608,0.0016784139095998,0.5380813897722149,0.207831552808743,0.2649846164427472,1.246298148914716,0.0141939362037657,True,False,True,False,4.084379661755608,0.0127776947427076
2023-12-05,381.6135559082031,382.8058126966644,378.5786821753916,378.7560667953098,42933000,0.0025075570300134,0.0025075570300134,0.0014230146976339,0.0008336445606864,1.7069801264727125,4.051499451327398,0.0005893701369474,0.5347258013735362,0.0893922680965354,0.2327532580022008,1.9133288921471931,0.0080892942453966,True,False,True,False,4.051499451327398,0.0025075570300134
2024-09-10,454.3986206054688,454.90389190042566,448.02836861259885,452.0010913798349,29680300,0.0091992986536649,0.0091992986536649,0.004113362108891,0.0024621229561652,1.6706566577396191,3.84334011539716,0.0016512391527257,0.5132167573698846,0.2348739048672083,0.2671637147513747,1.0418437726908576,0.0143188034641428,True,False,True,False,3.84334011539716,0.0091992986536649
2023-12-04,380.6578369140625,380.93373183962944,377.0514767703932,380.4311971261608,51186900,-0.0093267137598907,0.0093267137598907,0.001433298152998,0.0008583019910454,1.6699229035366925,3.839135181426244,0.0005749961619525,0.5127774598161112,0.0506932553460977,0.2194556928288328,2.1055922428515976,0.0080975965182061,True,False,True,False,3.839135181426244,0.0093267137598907
2023-12-01,384.2247314453125,384.8159433818808,380.4114580563647,382.0668274225255,40490100,0.0028505414113726,0.0028505414113726,0.0014827441875988,0.0008929629366028,1.660476741889957,3.7850019501007175,0.0005897812509959,0.507104755045788,0.0136882180586993,0.1999499877232176,2.4676997613528453,0.0078583931210858,True,False,True,False,3.7850019501007175,0.0028505414113726
2024-06-12,468.9992370605469,471.3237147233624,466.1703201246543,466.86269781638856,34532600,0.0130127775509769,0.0130127775509769,0.0012574784628998,0.0007574319316695,1.660186757809485,3.783340134868672,0.0005000465312302,0.5069301007447813,0.1156055863267632,0.1925154916189726,2.03269103762584,0.0073116878978308,True,False,True,False,3.783340134868672,0.0130127775509769
2024-09-03,457.5193481445313,468.9323056206166,455.1416524496019,468.8035388395337,44985200,-0.0308314342398733,0.0308314342398733,0.0042692887146301,0.002594516422398,1.6455046026203393,3.6992009328377584,0.001674772292232,0.4980470864926598,0.0797456939173814,0.1614839420592441,2.5903590613475043,0.0143099452649868,True,False,True,False,3.6992009328377584,0.0308314342398733
2023-07-26,371.4491271972656,373.1414692474909,369.1467601103594,371.6459230276656,47075700,-0.0033319539470763,0.0033319539470763,0.0015474866030436,0.0009406017519662,1.6452091438365728,3.6975077436581816,0.0006068848510773,0.4978675152462221,0.0577435884505842,0.2265622030234363,1.942618499124101,0.0086002040617074,True,False,True,False,3.6975077436581816,0.0033319539470763
2024-09-04,456.3304748535156,460.1348241601613,453.477258224592,454.40852713775496,32505100,-0.002601902264045,0.002601902264045,0.0041856228330499,0.0025559396453885,1.6376062872227035,3.653937962491496,0.0016296831876614,0.4932355946484274,0.1062268735062353,0.1823462471813059,2.122383800733729,0.0142756738829155,True,False,True,False,3.653937962491496,0.002601902264045
2023-07-27,370.56353759765625,378.52343803042015,369.2746062189445,376.9098266210042,63940200,-0.0023869943522932,0.0023869943522932,0.0015493842781094,0.0009472913016491,1.6355943260664063,3.642407992672542,0.0006020929764602,0.492006240479593,0.0903448317020758,0.2394280147645686,1.6775873498866616,0.0086494070248915,True,False,True,False,3.642407992672542,0.0023869943522932
2023-12-06,379.4063720703125,384.6484049030848,379.0615260202326,384.54986457293904,41994100,-0.0058006103270498,0.0058006103270498,0.0013681427602956,0.0008476830936044,1.6139790572890989,3.518537113828346,0.0005204596666911,0.4787025941062607,0.1242815558636707,0.2361717355686802,1.5006920171424245,0.0081086610119804,True,False,True,False,3.518537113828346,0.0058006103270498
2023-12-07,384.7075805664063,385.5352653367791,381.2884380844717,382.3821847930193,49593500,0.013875662217051,0.013875662217051,0.0015602625778817,0.0009725456403682,1.604307821781062,3.463114049038728,0.0005877169375135,0.4726923998732378,0.1593020315603032,0.2332916792200188,1.343341388602952,0.0085300575595982,True,False,True,False,3.463114049038728,0.013875662217051
2023-08-16,356.7099914550781,361.5213395998945,356.6115935528061,359.9864284102872,53190500,-0.0106455470531653,0.0106455470531653,0.0021285501812126,0.0013337354029981,1.5959313792134369,3.4151110696111044,0.0007948147782144,0.4674575026229821,0.5948339263483804,0.1441023085899539,-0.8839304864146936,0.0098428069363887,True,False,True,False,3.4151110696111044,0.0106455470531653
2025-01-15,513.4453125,514.5880322454942,508.2382987029594,509.79844685715614,34957600,0.0227456190893315,0.0227456190893315,0.0038771221107838,0.0024401866145151,1.5888629532352905,3.374603956469058,0.0014369354962686,0.46301863665779,0.2549238086785864,0.1216799412938539,1.7101818571448837,0.0138678819228575,True,False,True,False,3.374603956469058,0.0227456190893315
2025-01-17,518.45361328125,520.7689538758897,509.8779677530645,519.5566069696355,51837900,0.0167376946689244,0.0167376946689244,0.0039827904035131,0.0025266877165581,1.576289138310473,3.3025470451621493,0.0014561026869549,0.4550734380033068,0.3009178149697263,0.0755395883598371,2.040726278507787,0.0140562972626023,True,False,True,False,3.3025470451621493,0.0167376946689244
2024-12-18,512.3904418945312,532.6392598813255,510.9420129976954,530.922944302232,54703200,-0.0367438558215234,0.0367438558215234,0.0026124007561837,0.0016701745489549,1.5641483447453723,3.232971654531162,0.0009422262072287,0.4473414872066223,0.0314430148456124,0.1222216855671417,3.402820624107157,0.0113574988649704,True,True,True,True,3.232971654531162,0.0367438558215234
2023-12-12,392.8267822265625,392.9450185979474,388.6292106206721,389.7623492734944,39221200,0.0079326256305162,0.0079326256305162,0.001151556488565,0.0007398531513926,1.5564662884756175,3.188948002950939,0.0004117033371724,0.4424180521205609,0.2562484683198601,0.2228837789711188,0.8352765044639006,0.007065676041275,True,False,True,False,3.188948002950939,0.0079326256305162
2024-09-30,484.21484375,484.55215452746376,479.1055285852124,481.942923506745,30281100,0.0027081871002834,0.0027081871002834,0.0033115614326757,0.0021328733816505,1.5526291720669678,3.16695859413702,0.0011786880510252,0.4399497339839758,0.3321041361406706,0.1961009450165118,0.5499494040389482,0.0128024951718605,True,False,True,False,3.16695859413702,0.0027081871002834
2025-11-24,603.6201782226562,605.1363301511908,593.6456226504143,593.7653733267485,60168100,0.0252516627026244,0.0252516627026244,0.0036276396315292,0.0024304669787598,1.492568984985865,2.8227709629800346,0.0011971726527694,0.4004987863125151,0.1501127568850169,0.1345471555088316,1.8609537190183327,0.0133388199786716,True,False,True,False,2.8227709629800346,0.0252516627026244
2023-12-11,389.7229614257813,389.9890233551011,385.7914513797825,385.9983650479165,41198000,0.0085061024294857,0.0085061024294857,0.0010983854890247,0.0007382761456757,1.4877705252408056,2.795272372430792,0.000360109343349,0.3972787076101892,0.2265740841881633,0.2352850523090679,0.7255226022509501,0.0070723680743106,True,False,True,False,2.795272372430792,0.0085061024294857
2023-07-24,370.1798400878906,371.50810665869074,368.3202188458526,370.5635528672616,40380100,0.0015960723433308,0.0015960723433308,0.0019635393760594,0.0013209465268801,1.486463937868105,2.7877846965748687,0.0006425928491793,0.3964001034026474,-0.0028112320164492,0.1511588795447939,2.64100485939892,0.0097335644929931,True,False,True,False,2.7877846965748687,0.0015960723433308
2026-04-28,657.5499877929688,659.6400146484375,653.8099975585938,657.4099731445312,34147900,-0.0101076574130736,0.0101076574130736,0.003810727219236,0.0025702844986898,1.4826091124069756,2.7656938022824797,0.0012404427205461,0.3938034494558959,0.1137681485158952,0.0977125340814484,2.86590971744297,0.0111164195817205,True,False,True,False,2.7656938022824797,0.0101076574130736
2024-03-01,440.1871643066406,441.14536116207785,434.48739279006463,434.5466602123641,43853000,0.0149444624338089,0.0149444624338089,0.0022080712462389,0.0014894131611027,1.482510900201844,2.765130976425988,0.0007186580851361,0.3937372044440583,0.0467069467411899,0.1447790678126991,2.3969643053084297,0.0101448027726235,True,False,True,False,2.765130976425988,0.0149444624338089
