lambda,mu_J,rmse
0.049999999999999996,-0.45,0.04546972167871307
0.049999999999999996,-0.4247058823529412,0.046435057555774754
0.049999999999999996,-0.39941176470588236,0.047389047454526795
0.049999999999999996,-0.37411764705882355,0.0483283441270584
0.049999999999999996,-0.3488235294117647,0.04924952688447199
0.049999999999999996,-0.3235294117647059,0.050149127196473485
0.049999999999999996,-0.29823529411764704,0.05102366021616102
0.049999999999999996,-0.27294117647058824,0.05186965574149257
0.049999999999999996,-0.24764705882352941,0.05268369422953372
0.049999999999999996,-0.2223529411764706,0.053462441514144456
0.049999999999999996,-0.1970588235294118,0.054202688669960225
0.049999999999999996,-0.17176470588235293,0.05490139059556127
0.049999999999999996,-0.14647058823529413,0.05555570784797811
0.049999999999999996,-0.12117647058823527,0.056163046839793306
0.049999999999999996,-0.09588235294117647,0.05672110205337329
0.049999999999999996,-0.07058823529411762,0.05722789538387572
0.049999999999999996,-0.04529411764705882,0.05768181506047924
0.049999999999999996,-0.02,0.058081650990681716
0.06555669687107821,-0.45,0.03979602511003786
0.06555669687107821,-0.4247058823529412,0.04099002043137782
0.06555669687107821,-0.39941176470588236,0.04217157604312558
0.06555669687107821,-0.37411764705882355,0.04333629701258593
0.06555669687107821,-0.3488235294117647,0.0444797234733238
0.06555669687107821,-0.3235294117647059,0.04559735974757944
0.06555669687107821,-0.29823529411764704,0.04668470963305935
0.06555669687107821,-0.27294117647058824,0.047737314441340474
0.06555669687107821,-0.24764705882352941,0.04875079456471159
0.06555669687107821,-0.2223529411764706,0.049720896446276724
0.06555669687107821,-0.1970588235294118,0.05064354203376961
0.06555669687107821,-0.17176470588235293,0.0515148810965506
0.06555669687107821,-0.14647058823529413,0.05233134707888165
0.06555669687107821,-0.12117647058823527,0.05308971308496895
0.06555669687107821,-0.09588235294117647,0.05378714959939499
0.06555669687107821,-0.07058823529411762,0.054421280361010856
0.06555669687107821,-0.04529411764705882,0.05499023828586282
0.06555669687107821,-0.02,0.055492716756331294
0.08595361009292872,-0.45,0.03284578496914309
0.08595361009292872,-0.4247058823529412,0.03430155294184438
0.08595361009292872,-0.39941176470588236,0.03574795715695602
0.08595361009292872,-0.37411764705882355,0.03717849210926961
0.08595361009292872,-0.3488235294117647,0.03858674743530837
0.08595361009292872,-0.3235294117647059,0.039966415212172424
0.08595361009292872,-0.29823529411764704,0.04131130824121712
0.08595361009292872,-0.27294117647058824,0.042615390074004764
0.08595361009292872,-0.24764705882352941,0.04387281495829855
0.08595361009292872,-0.2223529411764706,0.0450779763493406
0.08595361009292872,-0.1970588235294118,0.046225564966675604
0.08595361009292872,-0.17176470588235293,0.047310634578657355
0.08595361009292872,-0.14647058823529413,0.04832867082287465
0.08595361009292872,-0.12117647058823527,0.04927566683255352
0.08595361009292872,-0.09588235294117647,0.050148201399470405
0.08595361009292872,-0.07058823529411762,0.05094351667645295
0.08595361009292872,-0.04529411764705882,0.05165959822788093
0.08595361009292872,-0.02,0.05229525269559878
0.11269669523673952,-0.45,0.024617442484963715
0.11269669523673952,-0.4247058823529412,0.026307824959946238
0.11269669523673952,-0.39941176470588236,0.028014239170183666
0.11269669523673952,-0.37411764705882355,0.029722441683375903
