model,n_params,sigma,lambda,rmse,aic
Merton,4,0.18584200021444902,0.1633188366004695,0.013997305877882662,-3612.019063592136
Kou,5,0.1812598080573909,1.8254232359006188,0.013981742832338795,-3610.9624454861378
