method,price,standard_error,absolute_error,se_ratio_vs_plain,variance_reduction_factor
plain,14.873606742508597,0.10542002150910895,0.14184716857829294,1.0,1.0
antithetic,14.669874746370292,0.08982884200163585,0.06188482756001257,0.8521041896569341,1.37725576411829
moment_matching,14.732706253978494,0.10492656074532292,0.0009466800481892079,0.9953190982441281,1.0094279486994515
control_variate,14.866788614674551,0.08418992722923985,0.1350290407442465,0.7986142103183437,1.5679273390261004
antithetic_moment_matching,14.72267799283328,0.08995430751997693,0.009081581097024838,0.8532943385161833,1.3734165349288405
antithetic_control_variate,14.665775635908451,0.08396999758776247,0.0659839380218532,0.7965279876224169,1.5761513545618309
