Date,Close,High,Low,Open,Volume,returns
2023-05-17,325.34893798828125,325.9286513392728,321.3400610920875,322.5191284212314,47486100,0.012031624716209699
2023-05-18,331.39178466796875,331.6079515358574,325.72235952182035,325.7420001513761,64213500,0.018403053185785233
2023-05-19,330.64501953125,332.31537245568006,329.5838259221381,331.6079200448358,61554900,-0.0022559635618317328
2023-05-22,331.7552795410156,332.76732644934293,330.3796561827026,330.3894914879063,43015900,0.0033522359546978788
2023-05-23,327.5498962402344,331.1854214014878,327.1961850279305,330.0358299758091,48216700,-0.01275718889877194
2023-05-24,325.86968994140625,327.107739087204,323.81611999977775,325.59457124075004,62891200,-0.005142821052870301
2023-05-25,333.7991027832031,335.0666280785355,330.8022724961006,333.2292246578266,66862800,0.024041745987158344
2023-05-26,342.32781982421875,343.1630113895212,334.72272789307027,334.82099101587556,63007000,0.0252294921198348
2023-05-30,343.88031005859375,347.761448653529,342.45556969717313,346.56271048312635,72652200,0.004524845496877622
2023-05-31,341.92486572265625,344.4893915729224,340.47067986314727,342.29824749275286,65105400,-0.005702638895881508
2023-06-01,345.8748779296875,347.20132498528426,340.6181163131397,341.6694746335876,50488600,0.011486063117547142
2023-06-02,348.4688720703125,349.62829889635873,345.8748996800786,347.6336805484104,53372100,0.007471821295327288
2023-06-05,348.7145080566406,351.26919913842227,347.68282030519657,348.25269839960436,47266200,0.000704652473061859
2023-06-06,348.6555480957031,349.61847863088633,346.77883357493243,348.10531064293906,41390400,-0.00016909232209738603
2023-06-07,342.74041748046875,350.89574464494757,342.1115576582304,348.94043798423246,69225900,-0.017111106321942297
2023-06-08,346.99493408203125,347.45674364005197,342.80920211568684,343.0351742492655,47153900,0.012336820353558582
2023-06-09,348.3215026855469,351.4264313853431,346.8771217711748,348.44924174376325,53196900,0.0038157309188038744
2023-06-12,354.20703125,354.3052943529786,349.00925194071897,349.98198769312216,44606500,0.016755664652679237
2023-06-13,356.92877197265625,357.76393338304973,353.75505666181834,356.9582479049561,57097800,0.007654667364798938
2023-06-14,359.52276611328125,359.8077201335218,354.1382955769709,356.93859927498477,69525600,0.007241258724624194
