Datetime,Close,High,Low,Open,Volume,returns
2026-02-20 14:35:00+00:00,603.3499755859375,604.3499755859375,602.02001953125,602.2899780273438,909507,0.0018413983139735047
2026-02-20 14:40:00+00:00,605.0800170898438,605.7379760742188,603.22998046875,603.3099975585938,548822,0.0028632898825091215
2026-02-20 14:45:00+00:00,604.510009765625,605.9400024414062,604.3800048828125,605.1500244140625,541935,-0.0009424802681183999
2026-02-20 14:50:00+00:00,603.9401245117188,604.6599731445312,603.4299926757812,604.5900268554688,547839,-0.0009431672519824204
2026-02-20 14:55:00+00:00,604.5698852539062,604.760009765625,603.4600219726562,604.0499877929688,498614,0.0010422103153513193
2026-02-20 15:00:00+00:00,606.364990234375,608.9600219726562,604.2650146484375,604.5700073242188,1245645,0.002964827145950336
2026-02-20 15:05:00+00:00,606.5050048828125,606.5599975585938,603.5700073242188,606.47998046875,888377,0.00023088154480393442
2026-02-20 15:10:00+00:00,605.260009765625,607.75,605.1900024414062,606.510009765625,734177,-0.0020548465093627385
2026-02-20 15:15:00+00:00,606.1500244140625,606.969970703125,603.6500244140625,605.268798828125,748918,0.001469386555272809
2026-02-20 15:20:00+00:00,607.1497802734375,607.77001953125,606.0399780273438,606.1599731445312,512701,0.0016479951315927274
2026-02-20 15:25:00+00:00,606.3499755859375,607.9000244140625,605.9199829101562,607.1900024414062,613755,-0.0013181787626236655
2026-02-20 15:30:00+00:00,605.530029296875,606.8900146484375,604.7899780273438,606.3900146484375,699720,-0.0013531808609362527
2026-02-20 15:35:00+00:00,607.1400146484375,607.3900146484375,605.1699829101562,605.5599975585938,464919,0.0026552751187883957
2026-02-20 15:40:00+00:00,608.4500122070312,608.6099853515625,605.8499755859375,607.1900024414062,725664,0.002155328748639027
2026-02-20 15:45:00+00:00,608.8400268554688,609.3699951171875,607.6300048828125,608.4600219726562,613653,0.0006407916753896709
2026-02-20 15:50:00+00:00,609.739990234375,609.9550170898438,608.3400268554688,608.8699951171875,525137,0.0014770692607923442
2026-02-20 15:55:00+00:00,609.8599853515625,610.0399780273438,609.3200073242188,609.760009765625,386828,0.0001967778287583168
2026-02-20 16:00:00+00:00,609.9500122070312,610.3499755859375,609.4500122070312,609.8200073242188,408295,0.0001476079976592622
2026-02-20 16:05:00+00:00,609.5499877929688,610.02001953125,609.3800048828125,609.9400024414062,387977,-0.0006560466230585767
2026-02-20 16:10:00+00:00,608.8200073242188,609.8599853515625,608.7000122070312,609.5900268554688,423861,-0.0011982904356209808
2026-02-20 16:15:00+00:00,607.9450073242188,609.0599975585938,607.489990234375,608.869873046875,488340,-0.0014382401536807527
2026-02-20 16:20:00+00:00,607.260009765625,608.030029296875,606.9199829101562,608.030029296875,577369,-0.0011273778852324652
2026-02-20 16:25:00+00:00,606.47998046875,607.4199829101562,606.4124755859375,607.260009765625,2846576,-0.0012853319665498805
2026-02-20 16:30:00+00:00,607.9600219726562,608.1099853515625,606.22998046875,606.469970703125,412118,0.002437406926103902
2026-02-20 16:35:00+00:00,608.77001953125,608.7899780273438,607.3699951171875,608.0,357072,0.0013314336798168833
2026-02-20 16:40:00+00:00,609.239990234375,609.6234741210938,608.4199829101562,608.7999877929688,344829,0.0007717025684193333
2026-02-20 16:45:00+00:00,610.0,610.0499877929688,609.1500244140625,609.22998046875,360744,0.0012466944492458792
2026-02-20 16:50:00+00:00,609.9299926757812,610.1165161132812,609.3699951171875,610.0050048828125,362127,-0.00011477269140998405
2026-02-20 16:55:00+00:00,609.3599853515625,610.0250244140625,609.1699829101562,609.9199829101562,346829,-0.0009349824504678237
2026-02-20 17:00:00+00:00,608.6099853515625,609.6199951171875,608.5700073242188,609.3599853515625,375358,-0.0012315576128086748
2026-02-20 17:05:00+00:00,607.7849731445312,608.72998046875,607.7020263671875,608.6300048828125,343921,-0.001356487591098115
2026-02-20 17:10:00+00:00,606.58349609375,607.7999877929688,606.5399780273438,607.7999877929688,544979,-0.0019787691680920277
2026-02-20 17:15:00+00:00,605.2265014648438,606.5800170898438,605.0499877929688,606.5800170898438,656200,-0.002239617099794227
2026-02-20 17:20:00+00:00,604.25,605.5700073242188,604.2000122070312,605.2000122070312,588666,-0.0016147509700936108
2026-02-20 17:25:00+00:00,605.239990234375,605.25,604.0800170898438,604.25,536695,0.001637037864649305
2026-02-20 17:30:00+00:00,605.875,606.3400268554688,605.0599975585938,605.260009765625,395212,0.0010486367172983105
2026-02-20 17:35:00+00:00,606.0900268554688,606.2150268554688,604.9000244140625,605.9099731445312,506873,0.00035484003739426334
2026-02-20 17:40:00+00:00,606.1010131835938,606.3099975585938,605.3200073242188,606.0922241210938,372497,1.8126397180585254e-05
2026-02-20 17:45:00+00:00,607.0700073242188,607.1900024414062,605.719970703125,606.1300048828125,758698,0.0015974571273251132
2026-02-20 17:50:00+00:00,607.6279907226562,607.9398803710938,606.6099853515625,607.0599975585938,466403,0.0009187196135691955
2026-02-20 17:55:00+00:00,607.8200073242188,608.030029296875,606.2100219726562,607.6400146484375,476780,0.0003159602113270186
2026-02-20 18:00:00+00:00,607.110107421875,608.0800170898438,607.0499877929688,607.8099975585938,421541,-0.0011686268609515606
2026-02-20 18:05:00+00:00,607.5606079101562,608.0,607.0399780273438,607.1480102539062,245532,0.0007417656542649175
2026-02-20 18:10:00+00:00,607.0499877929688,607.5800170898438,606.780029296875,607.5800170898438,243337,-0.0008407964644394237
2026-02-20 18:15:00+00:00,606.4550170898438,607.030029296875,606.1201171875,607.030029296875,277384,-0.0009805822776257026
2026-02-20 18:20:00+00:00,606.5900268554688,606.9000244140625,605.27001953125,606.469970703125,433600,0.0002225964598038709
2026-02-20 18:25:00+00:00,606.1099853515625,606.7000122070312,605.6199951171875,606.6599731445312,281547,-0.000791690482637526
2026-02-20 18:30:00+00:00,607.6500244140625,608.5399780273438,605.3099975585938,606.1699829101562,523837,0.002537634913894401
2026-02-20 18:35:00+00:00,607.5800170898438,608.3300170898438,606.1400146484375,607.6599731445312,654406,-0.00011521657942152166
2026-02-20 18:40:00+00:00,608.6599731445312,608.8099975585938,607.5499877929688,607.5999755859375,300327,0.0017758934867939632
2026-02-20 18:45:00+00:00,609.0,609.9000244140625,608.6400146484375,608.6500244140625,442880,0.0005584923078794803
2026-02-20 18:50:00+00:00,609.407470703125,609.5900268554688,608.1500244140625,609.010009765625,445359,0.0006688578790159054
2026-02-20 18:55:00+00:00,609.2899780273438,609.6649780273438,609.0499877929688,609.4299926757812,264214,-0.00019281680825323393
2026-02-20 19:00:00+00:00,609.4500122070312,609.8099975585938,609.25,609.3699951171875,323442,0.0002626223507714056
2026-02-20 19:05:00+00:00,608.9199829101562,609.4879760742188,608.760009765625,609.4398803710938,417060,-0.0008700630062060322
2026-02-20 19:10:00+00:00,608.4799194335938,609.1300048828125,608.3900756835938,608.932373046875,468622,-0.000722956351290053
2026-02-20 19:15:00+00:00,608.4500122070312,608.614990234375,608.25,608.489990234375,235630,-4.915192862126219e-05
2026-02-20 19:20:00+00:00,608.719970703125,609.0250244140625,608.25,608.469970703125,227388,0.00044358389429705004
2026-02-20 19:25:00+00:00,608.27197265625,608.75,607.905029296875,608.7000122070312,237177,-0.0007362383449715437
2026-02-20 19:30:00+00:00,608.4600219726562,608.8400268554688,608.260009765625,608.280029296875,245017,0.00030910556923560316
2026-02-20 19:35:00+00:00,608.1799926757812,608.5700073242188,608.02001953125,608.47998046875,222661,-0.00046033222390913855
2026-02-20 19:40:00+00:00,607.9000244140625,608.4099731445312,607.8099975585938,608.2000122070312,214086,-0.0004604438239763692
2026-02-20 19:45:00+00:00,607.9199829101562,608.0599975585938,607.6699829101562,607.9299926757812,175801,3.2831333545010084e-05
2026-02-20 19:50:00+00:00,607.9199829101562,608.52001953125,607.780029296875,607.9099731445312,249761,0.0
2026-02-20 19:55:00+00:00,607.5,608.1300048828125,607.4099731445312,607.9100952148438,246217,-0.000691091034830932
2026-02-20 20:00:00+00:00,608.0499877929688,608.219970703125,607.3599853515625,607.5150146484375,352392,0.0009049201366017304
2026-02-20 20:05:00+00:00,608.5499877929688,608.8300170898438,608.010009765625,608.0399780273438,375274,0.0008219629100521909
2026-02-20 20:10:00+00:00,608.6019897460938,608.72998046875,608.3599853515625,608.572021484375,155588,8.544857851164713e-05
2026-02-20 20:15:00+00:00,608.0599975585938,608.6500244140625,608.0,608.580078125,227050,-0.0008909495472165644
2026-02-20 20:20:00+00:00,607.6799926757812,608.1099853515625,607.5800170898438,608.0800170898438,303815,-0.0006251417214873104
2026-02-20 20:25:00+00:00,607.469970703125,607.7899780273438,607.3200073242188,607.6699829101562,30265128,-0.0003456725195688096
2026-02-20 20:30:00+00:00,607.5900268554688,607.9149780273438,607.4000244140625,607.489990234375,0,0.00019761353838606432
2026-02-20 20:35:00+00:00,608.030029296875,608.0770263671875,607.530029296875,607.6099853515625,209376,0.0007239144474373064
2026-02-20 20:40:00+00:00,608.4299926757812,608.4299926757812,607.9849853515625,608.0,252151,0.0006575857588320546
2026-02-20 20:45:00+00:00,608.0700073242188,608.5399780273438,608.0599975585938,608.4199829101562,358278,-0.0005918378332432989
2026-02-20 20:50:00+00:00,608.2999877929688,608.5,607.8397827148438,608.0700073242188,530312,0.0003781422961987516
2026-02-20 20:55:00+00:00,608.8699951171875,608.8699951171875,608.0800170898438,608.2999877929688,991012,0.0009366109481689814
2026-02-23 14:30:00+00:00,607.0900268554688,608.010009765625,606.3400268554688,606.6270141601562,1695352,-0.0029276777212087863
2026-02-23 14:35:00+00:00,606.9500122070312,607.719970703125,606.1900024414062,607.1500244140625,664156,-0.00023065903026794305
2026-02-23 14:40:00+00:00,604.1699829101562,606.9600219726562,604.1599731445312,606.9600219726562,849910,-0.004590848455502277
2026-02-23 14:45:00+00:00,604.4400024414062,605.1900024414062,603.5900268554688,604.1799926757812,810523,0.0004468265842831928
2026-02-23 14:50:00+00:00,605.219970703125,606.1890869140625,604.3499755859375,604.3800048828125,781214,0.0012895663031332804
2026-02-23 14:55:00+00:00,604.9600219726562,605.6799926757812,604.6588134765625,605.1799926757812,4674050,-0.0004296034243501412
2026-02-23 15:00:00+00:00,603.8300170898438,605.875,603.77001953125,604.9299926757812,0,-0.0018696467963242515
2026-02-23 15:05:00+00:00,603.5961303710938,604.4349975585938,603.2249755859375,603.8300170898438,785890,-0.0003874137100097956
2026-02-23 15:10:00+00:00,604.0499877929688,604.6699829101562,603.6199951171875,603.6300048828125,609655,0.000751639799799461
2026-02-23 15:15:00+00:00,604.6300048828125,604.669921875,603.6400146484375,604.0300903320312,421786,0.00095975301631673
2026-02-23 15:20:00+00:00,604.5800170898438,605.3599853515625,604.1300048828125,604.62841796875,516368,-8.26784298656554e-05
2026-02-23 15:25:00+00:00,603.97998046875,604.72998046875,603.830078125,604.5599975585938,343666,-0.000992977877158172
2026-02-23 15:30:00+00:00,603.469970703125,604.6649780273438,603.4500122070312,603.969970703125,621288,-0.0008447717364355858
2026-02-23 15:35:00+00:00,603.2999877929688,603.969970703125,602.9949951171875,603.47998046875,546563,-0.00028171551683686794
2026-02-23 15:40:00+00:00,602.9400024414062,603.5499877929688,602.6599731445312,603.3099975585938,7905231,-0.0005968718748576998
2026-02-23 15:45:00+00:00,602.8065795898438,603.47998046875,602.5499877929688,602.9299926757812,0,-0.00022131159912937325
2026-02-23 15:50:00+00:00,601.635009765625,603.1799926757812,601.5800170898438,602.8400268554688,581570,-0.001945416372318475
2026-02-23 15:55:00+00:00,600.8599853515625,601.760009765625,600.75,601.6300048828125,690786,-0.0012890274379919265
2026-02-23 16:00:00+00:00,600.010009765625,601.1599731445312,599.530029296875,600.8599853515625,769987,-0.0014155999089560541
2026-02-23 16:05:00+00:00,599.4398803710938,600.0999755859375,599.1199951171875,600.030029296875,660767,-0.0009506515314343082
2026-02-23 16:10:00+00:00,599.4000244140625,599.989990234375,599.0499877929688,599.4400024414062,722884,-6.649087486474212e-05
